Lease ID,Count,Timestamp,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
R13486952,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37251,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491615,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37252,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491700,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37253,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491457,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37254,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13483056,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37255,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13490555,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37256,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491519,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37257,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13488513,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37258,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13489297,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37259,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491602,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37260,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491702,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37261,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13486510,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37262,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13431395,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37263,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491794,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37264,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13488591,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37265,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13489733,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37266,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13488564,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37267,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13491453,1,1722582020,08-02-2024 02:14 AM,08-02-2024 02:14 AM,37268,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13413829,1,1722582020,04-15-2023 03:14 AM,08-02-2024 02:14 AM,26301,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13418630,1,1722582020,06-06-2023 03:13 AM,08-02-2024 02:14 AM,27277,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13431659,1,1722582020,09-14-2023 03:14 AM,08-02-2024 02:14 AM,28528,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13375035,1,1722582020,09-19-2023 03:14 AM,08-02-2024 02:14 AM,28541,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13299707,1,1722582020,09-20-2023 03:14 AM,08-02-2024 02:14 AM,28596,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13299703,1,1722582020,09-27-2023 03:13 AM,08-02-2024 02:14 AM,28790,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13299708,1,1722582020,09-27-2023 03:13 AM,08-02-2024 02:14 AM,28821,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13372821,1,1722582020,09-27-2023 03:13 AM,08-02-2024 02:14 AM,28826,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13390665,1,1722582020,09-27-2023 03:13 AM,08-02-2024 02:14 AM,28856,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376334,1,1722582020,09-29-2023 03:14 AM,08-02-2024 02:14 AM,28947,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13420955,1,1722582020,10-02-2023 03:14 AM,08-02-2024 02:14 AM,29165,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13384819,1,1722582020,10-02-2023 03:14 AM,08-02-2024 02:14 AM,29167,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13359898,1,1722582020,10-02-2023 03:14 AM,08-02-2024 02:14 AM,29185,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376383,1,1722582020,10-03-2023 03:15 AM,08-02-2024 02:14 AM,29218,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13375040,2,1722582020,10-03-2023 03:15 AM,08-02-2024 02:14 AM,29229,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13369240,1,1722582020,10-04-2023 03:14 AM,08-02-2024 02:14 AM,29273,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376379,1,1722582020,10-04-2023 03:14 AM,08-02-2024 02:14 AM,29278,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13314149,1,1722582020,10-04-2023 03:14 AM,08-02-2024 02:14 AM,29318,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13321298,1,1722582020,10-05-2023 03:15 AM,08-02-2024 02:14 AM,29355,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376369,1,1722582020,10-05-2023 03:15 AM,08-02-2024 02:14 AM,29420,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376397,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29504,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13453006,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29523,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13405369,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29547,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13316747,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29558,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13315417,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29566,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13315419,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29590,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13314141,1,1722582020,10-06-2023 03:14 AM,08-02-2024 02:14 AM,29597,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376346,1,1722582020,10-08-2023 03:14 AM,08-02-2024 02:14 AM,29667,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376349,1,1722582020,10-08-2023 03:14 AM,08-02-2024 02:14 AM,29675,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13453010,1,1722582020,10-08-2023 03:14 AM,08-02-2024 02:14 AM,29698,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13453013,1,1722582020,10-08-2023 03:14 AM,08-02-2024 02:14 AM,29744,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13453008,1,1722582020,10-10-2023 03:14 AM,08-02-2024 02:14 AM,29780,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13399027,1,1722582020,10-10-2023 03:14 AM,08-02-2024 02:14 AM,29867,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13454343,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,29944,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13454326,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,29948,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13417340,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30034,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13314143,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30081,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376384,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30102,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13314118,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30111,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13314119,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30166,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13454335,1,1722582020,10-14-2023 01:14 AM,08-02-2024 02:14 AM,30197,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13087431,1,1722582020,10-15-2023 03:13 AM,08-02-2024 02:14 AM,30308,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376352,1,1722582020,10-17-2023 03:14 AM,08-02-2024 02:14 AM,30324,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376356,1,1722582020,10-17-2023 03:14 AM,08-02-2024 02:14 AM,30339,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13455676,1,1722582020,10-17-2023 03:14 AM,08-02-2024 02:14 AM,30372,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13400522,1,1722582020,10-18-2023 03:14 AM,08-02-2024 02:14 AM,30450,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13376357,1,1722582020,10-18-2023 03:14 AM,08-02-2024 02:14 AM,30458,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
R13456961,1,1722582020,10-19-2023 03:14 AM,08-02-2024 02:14 AM,30493,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>
